總集數 ,集數 ,中文集名 ,英文原名 ,導演 ,編劇 ,首播日期
48,24,明蒂的婚禮 ,The One with Barry and Mindy's Wedding ,Michael Lembeck ,故事: Ira Ungerleider；電視劇本: Brown ,Mandell 1996年5月16日
49,1,關於莉亞公主的性幻想 ,The One with the Princess Leia Fantasy ,Gail Mancuso ,Michael Curtis和Gregory S. Malins ,1996年9月19日
50,2,沒人準備好 ,The One Where No One's Ready ,Gail Mancuso ,Ira Ungerleider ,1996年9月26日
51,3,果醬 ,The One with the Jam ,Kevin Bright ,Wil Calhoun ,1996年10月3日
52,4,關於隧道的隱喻 ,The One with the Metaphorical Tunnel ,Steve Zuckerman ,Alexa Junge ,1996年10月10日
53,5,小弗蘭克 ,The One with Frank Jr. ,Steve Zuckerman ,Shana Goldberg-Meehan和Scott Silveri ,1996年10月17日
54,6,回憶 ,The One with the Flashback ,Peter Bonerz ,David Crane & Marta Kauffman ,1996年10月31日
55,7,賽車床 ,The One with the Race Car Bed ,Gail Mancuso ,Seth Kurland ,1996年11月7日
56,8,醜陋裸男死了？ ,The One with the Giant Poking Device ,Gail Mancuso ,Adam Chase ,1996年11月14日
57,9,橄欖球賽 ,The One with the Football ,Kevin S. Bright ,Ira Ungerlinger ,1996年11月21日
58,10,瑞秋辭職了 ,The One Where Rachel Quits ,Terry Hughes ,Greg Malins和Michael Curtis ,1996年12月12日
59,11,錢德不記得哪個妹妹了 ,The One Where Chandler Can't Remember Which ,Sister Terry Hughes ,Alexa Junge ,1997年1月9日
60,12,與嫉妒有關 ,The One with All the Jealousy ,Robby Benson ,Doty Abrams ,1997年1月16日
61,13,純屬友誼 ,The One Where Monica and Richard are Just Frien,ds Robby Benson ,Michael Borkow ,1997年1月30日
62,14,菲比的前搭檔 ,The One with Phoebe's Ex-Partner ,Robby Benson ,Wil Calhoun ,1997年2月6日
63,15,羅斯和瑞秋分手了 ,The One Where Ross and Rachel Take a Break ,James Burrows ,Michael Borkow ,1997年2月13日
64,16,第二天早上 ,The One With the Morning After ,James Burrows ,David Crane和Marta Kauffman ,1997年2月20日
65,17,去滑雪的路上 ,The One Without the Ski Trip ,Sam Simon ,Shana Goldberg-Meehan & Scott Silveri ,1997年3月6日
66,18,催眠錄音帶 ,The One with the Hypnosis Tape ,Robby Benson ,Seth Kurland ,1997年3月13日
67,19,小T恤 ,The One with the Tiny T-Shirt ,Terry Hughes ,Adam Chase ,1997年3月27日
68,20,玩具屋 ,The One with the Dollhouse ,Terry Hughes ,Wil Calhoun ,1997年4月10日
69,21,雞與鴨 ,The One with a Chick and a Duck ,Michael Lembeck ,Chris Brown ,1997年4月17日
70,22,這個傢伙很躁鬱 ,The One with the Screamer ,Peter Bonerz ,Shana Goldberg-Meehan和Scott Silveri ,1997年4月24日
71,23,寡人有疾 ,The One with Ross's Thing ,Shelley Jensen ,Ted Cohen & Andrew Reich ,1997年5月1日
72,24,終極格鬥冠軍 ,The One with the Ultimate Fighting Champion ,Robby Benson ,Pang-Ni Landrum和Mark J. Kunerth／,1997年5月8日
73,25,在海灘上 ,The One at the Beach ,Pamela Fryman ,Pang-Ni Landrum和Mark J. Kunerth／Ad,am Chase 1997年5月15日
74,1,水母行兇 ,The One with the Jellyfish ,Shelley Jensen ,Wil Calhoun ,1997年9月25日
75,2,母還魂 ,The One with the Cat ,Shelley Jensen ,Jill Condon和Amy Toomin ,1997年10月2日
76,3,手銬遊戲 ,The One with the Cuffs ,Peter Bonerz ,Seth Kurland ,1997年10月9日
77,4,與喬伊共舞 ,The One with the Ballroom Dancing ,Gail Mancuso ,Ted Cohen & Andrew Reich ,1997年10月16日
78,5,喬伊的新女友 ,The One with Joey's New Girlfriend ,Gail Mancuso ,Gregory S. Malins和Michael Curtis ,1997年10月30日
79,6,髒姑娘 ,The One with the Dirty Girl ,Shelley Jensen ,Shana Goldberg-Meehan和Scott Silveri ,1997年11月6日
80,7,錢德越界了 ,The One Where Chandler Crosses the Line ,Kevin Bright ,Adam Chase ,1997年11月13日
81,8,盒裝錢德 ,The One with Chandler in a Box ,Peter Bonerz ,Michael Borkow ,1997年11月20日
82,9,派對時間 ,The One Where They're Going to Party! ,Peter Bonerz ,Ted Cohen & Andrew Reich ,1997年12月11日
83,10,羅斯的選擇 ,The One with the Girl from Poughkeepsie ,Gary Halvorson ,Scott Silveri ,1997年12月18日
84,11,菲比的子宮 ,The One with Phoebe's Uterus ,David Steinberg ,Seth Kurland ,1998年1月8日
85,12,公寓大搬風 ,The One with the Embryos ,Kevin S. Bright ,Jill Condon和Amy Toomin ,1998年1月15日
86,13,瑞秋思春 ,The One with Rachel's Crush ,Dana DeVally Piazza ,Shana Goldberg-Meehan ,1998年1月29日
87,14,髒兮兮的喬伊 ,The One with Joey's Dirty Day ,Peter Bonerz ,Wil Calhoun ,1998年2月5日
88,15,羅斯打橄欖球 ,The One with All the Rugby ,James Burrows ,,1998年2月26日
89,16,假派對 ,The One with the Fake Party ,Michael Lembeck ,,1998年3月19日
90,17,免費的A片 ,The One with the Free Porn ,Michael Lembeck ,,1998年3月26日
91,18,瑞秋的新裝扮 ,The One with Rachel's New Dress ,Gail Mancuso ,,1998年4月2日
92,19,不擇手段 ,The One with All the Haste ,Kevin S. Bright ,Scott Silveri & Wil Calhoun ,1998年4月9日
93,20,婚紗 ,The One with All the Wedding Dresses ,Gail Mancuso ,,1998年4月16日
94,21,結婚請柬 ,The One with the Invitation ,Peter Bonerz ,Seth Kurland ,1998年4月23日
95,22,喬伊幹不了伴郎 ,The One with the Worst Best Man Ever ,Peter Bonerz ,Gregory S. Malins和Michael Curtis ,1998年4月30日
